segmentid,device,timestamp,filedate,filetimeutc,updatetimems,sequenceno,vin,utctime,startlocaltime,endlocaltime,swversionmaj,swversionmin,configversion,startlatitude,startlongitude,endlatitude,endlongitude,startodometer,endodometer,numbsmtx,numnormalbsmrx,numshadowbsmrx,numspatrx,numwarnings,numinforms,numgnssoutages,numcanoutages,numintersectionencounters,firmwareversionstring,configsversionstring,fullmediaversionstring,deltamediaversionstring,pluginsversionstring,totalstorageondevice,storageused,partition_date,timestamp_hr,startlocaltime_hr,endlocaltime_hr,trip_id
387927544d19ab2f8f59148a7d537647,156,1643410000000.0,20220128,215828,1969-12-31 23:24:12.516352,1,1c9ac0159c94d8d0cbedc973445af2da,1643410000000.0,79108064,80451288,,,0,40.04432125,-83.08056695,40.04442508,-83.08055727,,45639870.0,13394,0,0,0,0,0,0,5,0,HSC V3.11,0,HSC V3.11,0,0,5110,307,1/28/2022,2022-01-28 22:46:40,2022-01-29 02:58:28.064000000,2022-01-29 03:20:51.288000000,15620220128215828
0709644cfe4b0042d7c02c3a2e01f053,77,1643410000000.0,20220128,222126,1969-12-31 23:24:12.516352,1,28dd2c7955ce926456240b2ff0100bde,1643410000000.0,80486642,80529949,,,0,40.09353066,-83.01715333,40.09278674,-83.01821597,,,320,0,0,0,0,0,0,7,0,HSC V3.11,0,HSC V3.11,0,0,5110,306,1/28/2022,2022-01-28 22:46:40,2022-01-29 03:21:26.641999872,2022-01-29 03:22:09.948999936,7720220128222126
15e97b332287eb4e29f8f9cf495b0207,160,1656270000000.0,20220626,181205,1969-12-31 23:24:12.516352,1,b73ce398c39f506af761d2277d853a92,1656270000000.0,65525010,66189079,,,0,40.07657783,-83.12666939,40.01434479,-83.14267463,,36735894.0,6603,4,0,0,0,0,0,5,0,HSC V3.11,HSC V3.11-NOSEC-CH180,HSC V3.11,0,0,5110,336,6/26/2022,2022-06-26 19:00:00,2022-06-26 22:12:05.009999872,2022-06-26 22:23:09.079000064,16020220626181205
659ad9fbd09637055abdf429aa62293b,101,1656640000000.0,20220701,5231,1969-12-31 23:24:12.516352,1,38b3eff8baf56627478ec76a704e9b52,1656640000000.0,3151739,3235152,,,0,40.15725632,-83.09452704,40.15651677,-83.09263208,,0.0,834,0,0,0,0,0,0,11,0,HSC V3.11,HSC V3.11-NOSEC-CH180,HSC V3.11,0,0,5110,324,7/1/2022,2022-07-01 01:46:40,2022-07-01 04:52:31.739000064,2022-07-01 04:53:55.152000000,101202207015231
0601b91983573ff589e6cc389fba9590,101,1656640000000.0,20220701,10157,1969-12-31 23:24:12.516352,1,38b3eff8baf56627478ec76a704e9b52,1656640000000.0,3717862,6295320,,,0,40.15652361,-83.09261825,40.19398416,-83.11435798,,0.0,25768,0,0,0,0,0,0,11,0,HSC V3.11,HSC V3.11-NOSEC-CH180,HSC V3.11,0,0,5110,324,7/1/2022,2022-07-01 01:46:40,2022-07-01 05:01:57.862000128,2022-07-01 05:44:55.320000000,1012022070110157
d0be6ec73e1c13381cca8c09d00bec5c,101,1656640000000.0,20220701,5502,1969-12-31 23:24:12.516352,1,38b3eff8baf56627478ec76a704e9b52,1656640000000.0,3302890,3655023,,,0,40.15651677,-83.09263208,40.15651677,-83.09263208,,0.0,3518,0,0,0,0,0,0,11,0,HSC V3.11,HSC V3.11-NOSEC-CH180,HSC V3.11,0,0,5110,324,7/1/2022,2022-07-01 01:46:40,2022-07-01 04:55:02.889999872,2022-07-01 05:00:55.023000064,101202207015502
c2b7e9317ee3800dc9fd2805479278e9,135,1641220000000.0,20220103,133908,1969-12-31 23:24:12.516352,1,7f1de29e6da19d22b51c68001e7e0e54,1641220000000.0,49148811,49272021,,,0,40.08145787,-83.12734327,40.08145787,-83.12734327,,,0,0,0,0,0,0,0,62,0,HSC V3.11,0,HSC V3.11,0,0,5110,338,1/3/2022,2022-01-03 14:26:40,2022-01-03 18:39:08.811000064,2022-01-03 18:41:12.020999936,13520220103133908
ab1ec975d71be299218dc6ff40d7a357,135,1641220000000.0,20220103,135807,1969-12-31 23:24:12.516352,1,7f1de29e6da19d22b51c68001e7e0e54,1641220000000.0,50287474,51217151,,,0,40.08145787,-83.12734327,40.09230988,-83.05016493,,,7201,0,0,0,0,0,0,121,0,HSC V3.11,0,HSC V3.11,0,0,5110,336,1/3/2022,2022-01-03 14:26:40,2022-01-03 18:58:07.473999872,2022-01-03 19:13:37.151000064,13520220103135807
d679fbecbfc7b247e564794cb359c61e,75,1641240000000.0,20220103,185622,1969-12-31 23:24:12.516352,1,d09bf41544a3365a46c9077ebb5e35c3,1641240000000.0,68182679,68770425,,,0,40.10017285,-83.11746312,40.0889101,-83.15786276,,71256797.0,5835,226,0,0,0,0,0,5,0,HSC V3.11,0,HSC V3.11,0,0,5110,298,1/3/2022,2022-01-03 20:00:00,2022-01-03 23:56:22.679000064,2022-01-04 00:06:10.424999936,7520220103185622
17bcf91f7c95a21028ee13e5930ac362,75,1641230000000.0,20220103,174942,1969-12-31 23:24:12.516352,1,d09bf41544a3365a46c9077ebb5e35c3,1641230000000.0,64182071,64241175,,,0,40.10017285,-83.11746312,40.10017285,-83.11746312,,,0,0,0,0,0,0,0,30,0,HSC V3.11,0,HSC V3.11,0,0,5110,298,1/3/2022,2022-01-03 17:13:20,2022-01-03 22:49:42.071000064,2022-01-03 22:50:41.175000064,7520220103174942
